drug_name,Owner,dominant_enzyme,Internal_ID,inchi_key,smiles,molecular_weight,logP,pKa,polar_surface_area,dominant_enzyme,metabolism_type,fm_dominant,secondary_enzyme,dose_mg,AUC_ng_h_ml,Cmax_ng_ml,clearance_L_h_kg,half_life_h,inhibitor_tested_SMILES,enzyme_inhibited,AUC_fold_change,data_source
Ezetimibe,Shayne,UGT,67,OLNTVTPDXPETLC-XPWALMASSA-N,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,409.4,4.5,,,,,,,,,,,,,,,
Clarithromycin,Shayne,CYP3A4,68,AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,748,3.16,,,,,,,,,,,,,,,
Erythromycin,Shayne,CYP3A4,69,ULGZDMOVFRHVEP-RWJQBGPGSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,733.9,3.06,,,,,,,,,,,,,,,
Rifampin,Shayne,CYP3A4,70,JQXXHWHPUNPDRT-WLSIYKJHSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,822.9,2.7,,,,,,,,,,,,,,,
Ketoconazole,Shayne,CYP3A4,71,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,531.4,4.35,,,,,,,,,,,,,,,
Itraconazole,Shayne,CYP3A4,72,VHVPQPYKVGDNFY-ZPGVKDDISA-N,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,705.6,5.66,,,,,,,,,,,,,,,
Diltiazem,Shayne,CYP3A4,73,HSUGRBWQSSZJOP-RTWAWAEBSA-N,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,414.5,2.8,,,,,,,,,,,,,,,
Verapamil,Shayne,CYP3A4,74,SGTNSNPWRIOYBX-UHFFFAOYSA-N,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,454.6,2.15,,,,,,,,,,,,,,,
Ranolazine,Shayne,CYP3A4,75,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,427.5,2.07,,,,,,,,,,,,,,,
Ticagrelor,Shayne,CYP3A4,76,OEKWJQXRCDYSHL-FNOIDJSQSA-N,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,522.6,2,,,,,,,,,,,,,,,
Lopinavir,Shayne,CYP3A4,77,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,628.8,5.9,,,,,,,,,,,,,,,
Ritonavir,Shayne,CYP3A4,78,NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,720.9,3.9,,,,,,,,,,,,,,,
Efavirenz,Shayne,CYP3A4,79,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,315.67,4.6,,,,,,,,,,,,,,,
Bosentan,Shayne,CYP3A4,80,GJPICJJJRGTNOD-UHFFFAOYSA-N,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,551.6,3.7,,,,,,,,,,,,,,,
